t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,qddot0,qddot1,qddot2,qddot3,qddot4,qddot5,jerk0,jerk1,jerk2,jerk3,jerk4,jerk5
0.22325,0.0485945,-0.0552195,0.0857824,0.0577766,0.0503596,-0.0930012,0.581827,-0.603006,0.918605,0.603178,0.554152,-0.989817,3.99308,-3.08885,4.35902,2.55068,2.9271,-4.57005,2.75757,13.2687,-25.2165,-21.2995,-10.708,29.2197
0.228,0.0514033,-0.0581184,0.0901945,0.0606701,0.0530247,-0.0977539,0.600823,-0.617526,0.939021,0.61505,0.567932,-1.01119,4.00491,-3.02391,4.23622,2.44736,2.87456,-4.42789,2.22407,14.0726,-26.4821,-22.1991,-11.4091,30.6267
0.23275,0.0543024,-0.0610855,0.0947022,0.0636188,0.0557546,-0.102606,0.61987,-0.631728,0.95884,0.626422,0.581455,-1.03187,4.01422,-2.9552,4.1075,2.33984,2.81874,-4.27916,1.69739,14.8548,-27.7083,-23.0683,-12.0909,31.9899
0.2375,0.0572921,-0.0641193,0.0993025,0.0666203,0.0585481,-0.107556,0.638955,-0.645594,0.978033,0.637272,0.594705,-1.05183,4.02105,-2.88282,3.97305,2.22826,2.75973,-4.12406,1.17754,15.6154,-28.8949,-23.9069,-12.7534,33.3093
0.24225,0.0603725,-0.0672181,0.103992,0.0696721,0.0614038,-0.112598,0.658066,-0.659109,0.996575,0.647584,0.607668,-1.07104,4.02542,-2.80689,3.83306,2.11277,2.69762,-3.96279,0.664499,16.3544,-30.0421,-24.7151,-13.3966,34.585
0.247,0.0635438,-0.0703802,0.108769,0.0727715,0.0643204,-0.117729,0.677192,-0.672254,1.01444,0.657338,0.620328,-1.08947,4.02737,-2.72749,3.68771,1.99352,2.63249,-3.79557,0.158284,17.0718,-31.1499,-25.4928,-14.0204,35.8169
0.25175,0.0668059,-0.0736039,0.113629,0.0759159,0.0672964,-0.122946,0.696322,-0.685015,1.0316,0.666517,0.632672,-1.10709,4.02693,-2.64474,3.5372,1.87064,2.56445,-3.6226,-0.34111,17.7675,-32.2181,-26.24,-14.6249,37.005
0.2565,0.0701588,-0.0768872,0.118568,0.0791024,0.0703303,-0.128245,0.715444,-0.697374,1.04803,0.675103,0.644686,-1.12388,4.02414,-2.55873,3.3817,1.74428,2.49359,-3.44409,-0.833683,18.4416,-33.2468,-26.9567,-15.2101,38.1494
0.26125,0.0736026,-0.0802283,0.123584,0.0823284,0.0734204,-0.133622,0.734548,-0.709318,1.06372,0.683082,0.656356,-1.1398,4.01902,-2.46958,3.22142,1.6146,2.41999,-3.26025,-1.31944,19.0941,-34.2361,-27.6429,-15.7759,39.25
0.266,0.077137,-0.0836251,0.128672,0.0855907,0.0765651,-0.139072,0.753621,-0.72083,1.07863,0.690437,0.667671,-1.15484,4.01162,-2.37737,3.05652,1.48173,2.34375,-3.07129,-1.79837,19.725,-35.1859,-28.2986,-16.3224,40.3068
0.27075,0.0807619,-0.0870755,0.133829,0.0888865,0.0797627,-0.144591,0.772654,-0.731898,1.09275,0.697154,0.678618,-1.16897,4.00195,-2.28223,2.88721,1.34581,2.26496,-2.87741,-2.27048,20.3342,-36.0962,-28.9239,-16.8496,41.3199
0.2755,0.0844771,-0.0905774,0.139052,0.0922127,0.0830114,-0.150176,0.791636,-0.742507,1.10605,0.703218,0.689185,-1.18217,3.99006,-2.18423,2.71367,1.207,2.18371,-2.67882,-2.73577,20.9219,-36.9671,-29.5186,-17.3575,42.2892
0.28025,0.0882823,-0.0941285,0.144336,0.095566,0.0863093,-0.15582,0.810557,-0.752644,1.11852,0.708616,0.699359,-1.19441,3.97597,-2.0835,2.53609,1.06543,2.10009,-2.47573,-3.19424,21.4879,-37.7984,-30.0829,-17.846,43.2148
0.285,0.0921773,-0.0977267,0.149676,0.0989434,0.0896547,-0.161521,0.829405,-0.762296,1.13014,0.713335,0.709132,-1.20568,3.95972,-1.98013,2.35465,0.921258,2.0142,-2.26835,-3.64589,22.0323,-38.5903,-30.6166,-18.3153,44.0966
0.28975,0.0961616,-0.10137,0.15507,0.102342,0.0930454,-0.167273,0.848171,-0.771451,1.14089,0.717364,0.718491,-1.21595,3.94135,-1.87423,2.16954,0.774621,1.92613,-2.05688,-4.09071,22.5551,-39.3427,-31.1199,-18.7651,44.9346
0.2945,0.100235,-0.105055,0.160513,0.105757,0.0964797,-0.173071,0.866844,-0.780097,1.15074,0.72069,0.727427,-1.22521,3.92087,-1.76589,1.98096,0.625667,1.83596,-1.84154,-4.52872,23.0562,-40.0556,-31.5927,-19.1957,45.7289
0.29925,0.104396,-0.10878,0.166001,0.109187,0.0999553,-0.178911,0.885416,-0.788224,1.1597,0.723304,0.735929,-1.23344,3.89833,-1.65523,1.78908,0.474539,1.7438,-1.62253,-4.9599,23.5357,-40.729,-32.035,-19.6069,46.4794
0.304,0.108646,-0.112542,0.171529,0.112628,0.10347,-0.184787,0.903875,-0.795819,1.16774,0.725195,0.74399,-1.24062,3.87376,-1.54234,1.59409,0.321382,1.64972,-1.40005,-5.38427,23.9936,-41.363,-32.4468,-19.9988,47.1861
0.30875,0.112983,-0.116339,0.177093,0.116075,0.107022,-0.190695,0.922213,-0.802872,1.17484,0.726354,0.751599,-1.24674,3.84719,-1.42732,1.39619,0.166342,1.55384,-1.17433,-5.80181,24.4299,-41.9574,-32.8282,-20.3714,47.8491
0.3135,0.117407,-0.120168,0.182689,0.119527,0.11061,-0.196629,0.94042,-0.809375,1.18099,0.726773,0.758748,-1.25177,3.81866,-1.31029,1.19556,0.00956288,1.45623,-0.945556,-6.21254,24.8446,-42.5124,-33.179,-20.7247,48.4683
0.31825,0.121917,-0.124027,0.188311,0.122978,0.11423,-0.202585,0.958487,-0.815317,1.18619,0.726443,0.76543,-1.25572,3.78819,-1.19134,0.992385,-0.14881,1.35698,-0.713947,-6.61644,25.2376,-43.0279,-33.4993,-21.0586,49.0437
0.323,0.126512,-0.127913,0.193956,0.126427,0.117881,-0.208557,0.976405,-0.82069,1.19042,0.725357,0.771637,-1.25855,3.75581,-1.07057,0.786856,-0.308633,1.2562,-0.479709,-7.01352,25.6091,-43.504,-33.7892,-21.3732,49.5754
0.32775,0.131192,-0.131823,0.199618,0.129868,0.12156,-0.21454,0.994165,-0.825485,1.19366,0.723508,0.777362,-1.26027,3.72157,-0.948083,0.57916,-0.469759,1.15397,-0.24305,-7.40378,25.9589,-43.9405,-34.0486,-21.6685,50.0633
0.3325,0.135957,-0.135754,0.205294,0.133299,0.125265,-0.220528,1.01176,-0.829694,1.19592,0.720892,0.782598,-1.26086,3.68549,-0.823991,0.369484,-0.632046,1.05038,-0.00417677,-7.78722,26.287,-44.3376,-34.2775,-21.9444,50.5075
0.33725,0.140804,-0.139704,0.210978,0.136715,0.128994,-0.226516,1.02917,-0.83331,1.19717,0.717502,0.787339,-1.26031,3.6476,-0.698391,0.158016,-0.795347,0.945528,0.236702,-8.16384,26.5936,-44.6952,-34.4758,-22.201,50.9079
0.342,0.145733,-0.14367,0.216666,0.140114,0.132744,-0.232499,1.04641,-0.836327,1.19742,0.713335,0.791579,-1.25861,3.60794,-0.571386,-0.0550575,-0.959518,0.839502,0.479379,-8.53364,26.8785,-45.0133,-34.6437,-22.4383,51.2645
